"GeneSymbol","Median","HL","LASSO","BestModel"
"A2M",8184.8878313624,8159.17171263318,7979.90179932201,"LASSO"
"AAAS",6544.51882510174,6552.88116285533,6782.7710616585,"Median"
"AACS",7109.44803354144,7044.81632655716,7046.63438814055,"HL"
"AAGAB",6934.50344974521,6888.37963927946,6942.45592901268,"HL"
"AAK1",6715.37530309072,6587.10450393023,6656.46111476352,"HL"
"AAMDC",6809.29132598047,6782.63032382322,6683.29160236663,"LASSO"
"AAMP",6935.44807731612,6898.31090979112,7015.5179220824,"HL"
"AAR2",6078.18271726316,6007.3983475586,6064.24002294304,"HL"
"AARS1",8845.79886650471,8755.57385525047,8760.20467225695,"HL"
"AARS2",6702.19737359797,6636.61351313182,6720.94492522064,"HL"
"AARSD1",7212.00663841511,7150.29017699977,7156.20097364381,"HL"
"AASDHPPT",7237.90345751326,7073.32168947516,7064.28745815267,"LASSO"
"AASS",7451.24369094223,7219.27270601642,7187.03377727087,"LASSO"
"AATF",6739.26516126697,6738.92162029978,6857.23376733251,"HL"
"ABCB1",5409.01942584149,5324.51404041442,5330.01120863972,"HL"
"ABCB10",5822.75388303405,5751.0949813372,5689.27622242688,"LASSO"
"ABCB6",6826.12027842217,6706.36043340566,6668.84639277597,"LASSO"
"ABCC1",6356.91200610778,6207.08137408504,6237.64603660114,"HL"
"ABCC4",6986.09715259226,6796.91203185764,6864.54542089343,"HL"
"ABCD3",7783.39980014783,7730.00195032619,7777.57640787297,"HL"
"ABCE1",8232.49944183136,8180.17345970605,8147.38647011732,"LASSO"
"ABCF1",7670.28547571125,7554.66416535063,7567.58044608841,"HL"
"ABCF2",7857.38894440216,7744.74134172571,7787.45154148928,"HL"
"ABCF3",7452.35160522485,7413.12412036586,7409.05819047891,"LASSO"
"ABHD10",7248.34150316022,7124.09139403814,7142.46800641308,"HL"
"ABHD12",6398.1406172676,6168.24499516462,NA,"HL"
"ABHD14B",8172.83392408013,7948.74697470131,7919.48940630738,"LASSO"
"ABI1",6577.75720093387,6502.78397340682,6517.80808213601,"HL"
"ABL1",3413.14638967975,3362.93005486656,3443.94782763002,"HL"
"ABLIM1",7550.20265152891,7395.052068739,7387.13229169883,"LASSO"
"ABRACL",7629.11809577755,7447.30637603623,7415.09835861705,"LASSO"
"ABRAXAS2",5225.12167697063,5205.16537677812,5173.14355755268,"LASSO"
"ACAA1",8016.575404735,7781.65287102208,7796.81866740335,"HL"
"ACAA2",8807.76704276312,8499.93484450592,8500.00963327218,"HL"
"ACACA",7811.22383475481,7673.75538706718,7738.20346586352,"HL"
"ACAD10",7004.13559956962,6947.94727895195,7025.83492554645,"HL"
"ACAD9",7343.76603440449,7280.52263968122,7418.32367904972,"HL"
"ACADM",8410.82128022405,8243.29631138965,8284.37078311522,"HL"
"ACADS",6448.34783715592,6246.67953373879,6229.51608996197,"LASSO"
"ACADSB",7018.2624550837,6665.65406149882,6661.27952937656,"LASSO"
"ACADVL",8086.854687836,7936.5715910559,7979.62793520717,"HL"
"ACAP2",7169.30746612737,7051.62517897964,7106.85110234107,"HL"
"ACAT1",8765.14705545653,8568.87462870504,8577.23480335516,"HL"
"ACAT2",8232.0229394765,8090.68842852405,8071.30861331406,"LASSO"
"ACBD3",7058.795880851,7021.40997620248,7051.9889783607,"HL"
"ACBD6",6457.33959672903,6384.30952331973,6456.83236554559,"HL"
"ACIN1",8028.18272120672,8013.70636737313,8086.03668685474,"HL"
"ACLY",8910.02717153914,8881.29162138156,8850.77325460618,"LASSO"
"ACO1",8126.0982453326,7930.22272981329,7935.98789489617,"HL"
"ACO2",8313.442293506,8142.90402784244,8148.81482448648,"HL"
"ACOT13",8079.39813449942,7900.85220048095,7999.88824064032,"HL"
"ACOT2",6228.34842728021,5984.25440140814,5944.28181546302,"LASSO"
"ACOT4",4067.66059656345,3983.55957314232,3953.84575879493,"LASSO"
"ACOT7",9155.75604088739,8860.90518811652,8865.80646288603,"HL"
"ACOT8",7119.66833738182,7046.04658785602,7049.27556951561,"HL"
"ACOT9",7481.24864602525,7243.76156820132,7341.96771465372,"HL"
"ACOX1",7026.45068978995,6860.30748384786,6856.59100183175,"LASSO"
"ACP1",9070.59175207766,9032.6598850231,8859.05168035259,"LASSO"
"ACP2",5585.91291553527,5381.17061679885,NA,"HL"
"ACSF3",7097.643794032,7039.62703265521,7108.14546228193,"HL"
"ACSL1",7258.57349661843,7013.06114890777,7008.80076207078,"LASSO"
"ACSL3",8039.98813071064,7868.64522089849,7990.62695398334,"HL"
"ACSL4",7991.91316001763,7757.56934723763,7768.70767650625,"HL"
"ACSS1",7594.95438331137,7284.01717238755,7272.7572006499,"LASSO"
"ACSS2",7295.90318358601,7154.27766115627,7174.1046310546,"HL"
"ACTBL2",9080.94828049786,9200.78924220158,9139.01514468166,"Median"
"ACTL6A",7470.05066202647,7422.05226138869,7574.35636499216,"HL"
"ACTN1",9241.49347686128,9031.62384007991,9073.70379149909,"HL"
"ACTN4",9319.14788769264,9112.44998182201,9223.57541716732,"HL"
"ACTR10",5939.67958210281,5941.30121241808,6023.69648407136,"Median"
"ACTR1A",7330.98653435644,7248.80217640169,7300.50325445567,"HL"
"ACTR1B",5444.95801652357,5366.20250231363,NA,"HL"
"ACTR2",8680.29997926216,8661.65665125283,8589.01315436323,"LASSO"
"ACTR3",8211.90097306738,8191.06715604554,8218.31845742017,"HL"
"ACY1",7873.04465553204,7530.8638344141,NA,"HL"
"ACYP1",6759.27408108524,6643.96720528933,6520.88094008997,"LASSO"
"ADAM10",7212.51898163989,7053.67697534039,7112.32381252841,"HL"
"ADAM9",7151.98831291272,6891.94074944512,6885.24135534437,"LASSO"
"ADAR",7644.73241908246,7588.80173065061,7676.3044688362,"HL"
"ADD1",6878.72817998769,6880.25582687347,6890.72911991952,"Median"
"ADD3",7106.00400820979,6945.91592947503,7134.59959561974,"HL"
"ADGRE5",7681.89681981686,7490.4212416743,7598.21117400792,"HL"
"ADGRG1",6885.81859792189,6791.10569148257,6775.99463211197,"LASSO"
"ADGRL2",6851.90354223359,6599.22513813703,6574.41741631783,"LASSO"
"ADH5",8616.70957374349,8512.87948111495,8607.94251957816,"HL"
"ADI1",7867.14246067738,7810.98871821566,7754.50901601306,"LASSO"
"ADK",8005.19319828219,7882.34270177552,7876.9493036214,"LASSO"
"ADNP",6760.31581308981,6710.34074469459,6846.17841328355,"HL"
"ADO",6380.24103314546,6232.99763812879,6254.05003496525,"HL"
"ADPGK",6971.58368935215,6872.73709865885,6943.18267797853,"HL"
