"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"A1BG","alpha-1-B glycoprotein",1,"HGNC:5","ENSG00000121410.12","ENST00000263100.8","ENSP00000263100.2","NM_130786.4","NP_570602.2","MANE Select","P04217;M0R009;V9HWD8"
"A1CF","APOBEC1 complementation factor",29974,"HGNC:24086","ENSG00000148584.15","ENST00000373997.8","ENSP00000363109.3","NM_014576.4","NP_055391.2","MANE Select","Q9NQ94;F8W9F8;A0A024QZI9;A0A024QZJ5;A0A024QZM7"
"A2M","alpha-2-macroglobulin",2,"HGNC:7","ENSG00000175899.15","ENST00000318602.12","ENSP00000323929.8","NM_000014.6","NP_000005.3","MANE Select","P01023;H0YFH1;F8W7L3;F5H1E8"
"A2ML1","alpha-2-macroglobulin like 1",144568,"HGNC:23336","ENSG00000166535.20","ENST00000299698.12","ENSP00000299698.7","NM_144670.6","NP_653271.3","MANE Select","A8K2U0;H0YGG5;F5GYG7;F5GXP1"
"A3GALT2","alpha 1,3-galactosyltransferase 2",127550,"HGNC:30005","ENSG00000184389.9","ENST00000442999.3","ENSP00000475261.1","NM_001080438.1","NP_001073907.1","MANE Select","U3KPV4"
"A4GALT","alpha 1,4-galactosyltransferase (P blood group)",53947,"HGNC:18149","ENSG00000128274.17","ENST00000642412.2","ENSP00000494127.1","NM_017436.7","NP_059132.1","MANE Select","Q9NPC4;A0A0S2Z5J1"
"A4GNT","alpha-1,4-N-acetylglucosaminyltransferase",51146,"HGNC:17968","ENSG00000118017.4","ENST00000236709.4","ENSP00000236709.3","NM_016161.3","NP_057245.1","MANE Select","Q9UNA3"
"AAAS","aladin WD repeat nucleoporin",8086,"HGNC:13666","ENSG00000094914.14","ENST00000209873.9","ENSP00000209873.4","NM_015665.6","NP_056480.1","MANE Select","Q9NRG9;F8VZ44;H3BU82;F8VUB6"
"AACS","acetoacetyl-CoA synthetase",65985,"HGNC:21298","ENSG00000081760.17","ENST00000316519.11","ENSP00000324842.6","NM_023928.5","NP_076417.2","MANE Select","Q86V21;A0A024RBV2;E7EW25"
"AADAC","arylacetamide deacetylase",13,"HGNC:17","ENSG00000114771.14","ENST00000232892.12","ENSP00000232892.6","NM_001086.3","NP_001077.2","MANE Select","P22760;C9K0E9"
"AADACL2","arylacetamide deacetylase like 2",344752,"HGNC:24427","ENSG00000197953.6","ENST00000356517.4","ENSP00000348911.3","NM_207365.4","NP_997248.2","MANE Select","Q6P093;F8WFE5"
"AADACL3","arylacetamide deacetylase like 3",126767,"HGNC:32037","ENSG00000188984.12","ENST00000359318.8","ENSP00000352268.6","NM_001103170.3","NP_001096640.2","MANE Select","Q5VUY0"
"AADACL4","arylacetamide deacetylase like 4",343066,"HGNC:32038","ENSG00000204518.3","ENST00000376221.2","ENSP00000365395.1","NM_001013630.2","NP_001013652.1","MANE Select","Q5VUY2"
"AADAT","aminoadipate aminotransferase",51166,"HGNC:17929","ENSG00000109576.14","ENST00000337664.9","ENSP00000336808.4","NM_016228.4","NP_057312.1","MANE Select","Q8N5Z0;Q4W5N8;D6RFY7;D6REB9;D6RC56"
"AAGAB","alpha and gamma adaptin binding protein",79719,"HGNC:25662","ENSG00000103591.13","ENST00000261880.10","ENSP00000261880.5","NM_024666.5","NP_078942.3","MANE Select","Q6PD74;H0YL49"
"AAK1","AP2 associated kinase 1",22848,"HGNC:19679","ENSG00000115977.21","ENST00000409085.9","ENSP00000386456.3","NM_014911.5","NP_055726.4","MANE Select","Q2M2I8;A0A096LP60;A0A096LNZ0;A0A096LP25;E9PG46"
"AAMDC","adipogenesis associated Mth938 domain containing",28971,"HGNC:30205","ENSG00000087884.16","ENST00000393427.7","ENSP00000377078.2","NM_024684.4","NP_078960.1","MANE Select","Q9H7C9;K4DI89;E9PIQ4;E9PLK9;E9PJP1;H0YF35;E9PR47"
"AAMP","angio associated migratory cell protein",14,"HGNC:18","ENSG00000127837.10","ENST00000248450.9","ENSP00000248450.4","NM_001087.5","NP_001078.2","MANE Select","Q13685;C9JEH3;C9JG97;C9JTS3"
"AANAT","aralkylamine N-acetyltransferase",15,"HGNC:19","ENSG00000129673.10","ENST00000392492.8","ENSP00000376282.2","NM_001088.3","NP_001079.1","MANE Select","Q16613;F1T0I5;K7ERF6;K7ESH7"
"AAR2","AAR2 splicing factor",25980,"HGNC:15886","ENSG00000131043.13","ENST00000320849.9","ENSP00000313674.4","NM_001271874.2","NP_001258803.1","MANE Select","Q9Y312;A2A2Q9;A0A7P0TA70;A0A7P0T8J7"
"AARD","alanine and arginine rich domain containing protein",441376,"HGNC:33842","ENSG00000205002.4","ENST00000378279.4","ENSP00000367528.3","NM_001025357.3","NP_001020528.1","MANE Select","Q4LEZ3"
"AARS1","alanyl-tRNA synthetase 1",16,"HGNC:20","ENSG00000090861.17","ENST00000261772.13","ENSP00000261772.8","NM_001605.3","NP_001596.2","MANE Select","P49588;A0A6Q8PGI8;A0A6Q8PH44;A0A6Q8PHP3;A0A6Q8PG62;A0A6Q8PGN5;A0A6Q8PGR9;A0A6Q8PGB5;A0A6Q8PHN5;A0A6Q8PG28;H3BPK7;A0A6Q8PHJ2;A0A6Q8PHP7;A0A6Q8PF33;A0A6Q8PFY2;A0A6Q8PFK3;A0A6Q8PF77;A0A6Q8PGE8"
"AARS2","alanyl-tRNA synthetase 2, mitochondrial",57505,"HGNC:21022","ENSG00000124608.5","ENST00000244571.5","ENSP00000244571.4","NM_020745.4","NP_065796.2","MANE Select","Q5JTZ9"
"AARSD1","alanyl-tRNA synthetase domain containing 1",80755,"HGNC:28417","ENSG00000266967.7","ENST00000427569.7","ENSP00000400870.1","NM_001261434.2","NP_001248363.1","MANE Select","Q9BTE6;L7N2F4;L7N2F5;K7N799"
"AASDH","aminoadipate-semialdehyde dehydrogenase",132949,"HGNC:23993","ENSG00000157426.14","ENST00000205214.11","ENSP00000205214.6","NM_181806.4","NP_861522.2","MANE Select","Q4L235;E9PH98;R4GNB1;D6RJA2"
"AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",60496,"HGNC:14235","ENSG00000149313.11","ENST00000278618.9","ENSP00000278618.4","NM_015423.3","NP_056238.2","MANE Select","Q9NRN7;E9PLW6;E9PNF3"
"AASS","aminoadipate-semialdehyde synthase",10157,"HGNC:17366","ENSG00000008311.16","ENST00000417368.7","ENSP00000403768.2","NM_005763.4","NP_005754.2","MANE Select","Q9UDR5;A0A7P0T9N4;A4D0W4;A0A7P0TA09;A0A7P0TAY5;A0A7P0Z4M3;A0A7P0T8W7;A0A7P0TBD2;A0A7P0TA62;A0A7P0Z428;F8WE53;A0A7P0TB07;F8WAH1"
"AATF","apoptosis antagonizing transcription factor",26574,"HGNC:19235","ENSG00000275700.6","ENST00000619387.5","ENSP00000477848.1","NM_012138.4","NP_036270.1","MANE Select","Q9NY61;A0A087WW41;A0A7P0Z4P2;A0A087WWS8;A0A7P0TAR0;A0A7P0TBI0;A0A7P0TBG4;A0A7P0Z4N2;A0A7P0T868;A0A7P0Z434;A0A087WTH8"
"AATK","apoptosis associated tyrosine kinase",9625,"HGNC:21","ENSG00000181409.14","ENST00000326724.9","ENSP00000324196.4","NM_001080395.3","NP_001073864.2","MANE Select","Q6ZMQ8;I3L360;A0A3B3ISC2;I3L461;A0A3B3ISX0;A0A3B3ISA0;H7C175"
"ABAT","4-aminobutyrate aminotransferase",18,"HGNC:23","ENSG00000183044.12","ENST00000268251.13","ENSP00000268251.8","NM_020686.6","NP_065737.2","MANE Select","P80404;H3BRJ1;H3BP84;H3BP74;H3BRN4;H3BMJ9;H3BPW8;H3BRT1;H3BNQ7;X5D8S1"
"ABCA1","ATP binding cassette subfamily A member 1",19,"HGNC:29","ENSG00000165029.17","ENST00000374736.8","ENSP00000363868.3","NM_005502.4","NP_005493.2","MANE Select","O95477;B1AMI2;B1AMI1;A0A7I2V5U0"
"ABCA10","ATP binding cassette subfamily A member 10",10349,"HGNC:30","ENSG00000154263.18","ENST00000690296.1","ENSP00000509702.1","NM_001377321.1","NP_001364250.1","MANE Select","Q8WWZ4;E5RFP5;E5RFN6;K7ERP5"
"ABCA12","ATP binding cassette subfamily A member 12",26154,"HGNC:14637","ENSG00000144452.15","ENST00000272895.12","ENSP00000272895.7","NM_173076.3","NP_775099.2","MANE Select","Q86UK0;E9PBK1"
"ABCA13","ATP binding cassette subfamily A member 13",154664,"HGNC:14638","ENSG00000179869.15","ENST00000435803.6","ENSP00000411096.1","NM_152701.5","NP_689914.3","MANE Select","A0A0A0MT16;H0Y4D2"
"ABCA2","ATP binding cassette subfamily A member 2",20,"HGNC:32","ENSG00000107331.18","ENST00000341511.11","ENSP00000344155.6","NM_001606.5","NP_001597.2","MANE Select","Q9BZC7;H0Y8E3;H0Y8C9;E9PGB2"
"ABCA3","ATP binding cassette subfamily A member 3",21,"HGNC:33","ENSG00000167972.14","ENST00000301732.10","ENSP00000301732.5","NM_001089.3","NP_001080.2","MANE Select","Q99758;H0Y3H2"
"ABCA4","ATP binding cassette subfamily A member 4",24,"HGNC:34","ENSG00000198691.14","ENST00000370225.4","ENSP00000359245.3","NM_000350.3","NP_000341.2","MANE Select","P78363;A0A3B3IRV8"
"ABCA5","ATP binding cassette subfamily A member 5",23461,"HGNC:35","ENSG00000154265.16","ENST00000392676.8","ENSP00000376443.2","NM_172232.4","NP_758424.1","MANE Select","Q8WWZ7;A0A075B778;Q6N017;K7EQ50;K7EPM3;K7EMV2;K7EKS9;K7EJW6"
"ABCA6","ATP binding cassette subfamily A member 6",23460,"HGNC:36","ENSG00000154262.13","ENST00000284425.7","ENSP00000284425.1","NM_080284.3","NP_525023.2","MANE Select","Q8N139"
"ABCA7","ATP binding cassette subfamily A member 7",10347,"HGNC:37","ENSG00000064687.13","ENST00000263094.11","ENSP00000263094.6","NM_019112.4","NP_061985.2","MANE Select","Q8IZY2;A0A087WZX6;E9PKG5;A0A6E1ZGS3;E9PL63"
"ABCA8","ATP binding cassette subfamily A member 8",10351,"HGNC:38","ENSG00000141338.15","ENST00000586539.6","ENSP00000467271.1","NM_001288985.2","NP_001275914.1","MANE Select","O94911;A0A024R8L6;K7ELK9;A0A0A0MSU4"
"ABCA9","ATP binding cassette subfamily A member 9",10350,"HGNC:39","ENSG00000154258.17","ENST00000340001.9","ENSP00000342216.3","NM_080283.4","NP_525022.2","MANE Select","Q8IUA7;K7EJJ0;H0Y4U7"
"ABCB1","ATP binding cassette subfamily B member 1",5243,"HGNC:40","ENSG00000085563.15","ENST00000622132.5","ENSP00000478255.1","NM_001348946.2","NP_001335875.1","MANE Select","P08183;A4D1D2;E7EWT8"
"ABCB10","ATP binding cassette subfamily B member 10",23456,"HGNC:41","ENSG00000135776.5","ENST00000344517.5","ENSP00000355637.3","NM_012089.3","NP_036221.2","MANE Select","Q9NRK6"
"ABCB11","ATP binding cassette subfamily B member 11",8647,"HGNC:42","ENSG00000073734.10","ENST00000650372.1","ENSP00000497931.1","NM_003742.4","NP_003733.2","MANE Select","O95342;Q53S60;A0A3B3IS78;H7C486"
"ABCB4","ATP binding cassette subfamily B member 4",5244,"HGNC:45","ENSG00000005471.19","ENST00000649586.2","ENSP00000496956.2","NM_000443.4","NP_000434.1","MANE Select","P21439;A0A2R8Y8A1;E7EQI1;A0A2R8Y291"
"ABCB5","ATP binding cassette subfamily B member 5",340273,"HGNC:46","ENSG00000004846.17","ENST00000404938.7","ENSP00000384881.2","NM_001163941.2","NP_001157413.1","MANE Select","Q2M3G0;H7C165"
"ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)",10058,"HGNC:47","ENSG00000115657.14","ENST00000265316.9","ENSP00000265316.3","NM_005689.4","NP_005680.1","MANE Select","Q9NP58;H7C1R6"
"ABCB7","ATP binding cassette subfamily B member 7",22,"HGNC:48","ENSG00000131269.19","ENST00000373394.8","ENSP00000362492.3","NM_001271696.3","NP_001258625.1","MANE Select","O75027;A0A0S2Z2Z3;B4DGL8;A0A2R8YF35;A0A590UJS8;E9PNQ5;A0A087WW65;A0A2R8Y473;A0A5F9ZA98;E9PJR8"
"ABCB8","ATP binding cassette subfamily B member 8",11194,"HGNC:49","ENSG00000197150.13","ENST00000358849.9","ENSP00000351717.4","NM_007188.5","NP_009119.2","MANE Select","Q9NUT2;F2Z3G8;C9JTY4;F2Z2Z1;C9JYI3;C9JA03;F8WC43"
"ABCB9","ATP binding cassette subfamily B member 9",23457,"HGNC:50","ENSG00000150967.19","ENST00000280560.13","ENSP00000280560.8","NM_019625.4","NP_062571.1","MANE Select","Q9NP78;A0A024RBU1;H7C478;F5H4Y2;F5H7U2;F5GYI2;F5H5I5;F5GX86;F5GXZ5;F5H5F9;F5H5Q0;F5H0G0"
"ABCC1","ATP binding cassette subfamily C member 1",4363,"HGNC:51","ENSG00000103222.20","ENST00000399410.8","ENSP00000382342.3","NM_004996.4","NP_004987.2","MANE Select","A0A0A0MS99;P33527;A0A7I2V2E0;A0A7I2V4C6"
"ABCC10","ATP binding cassette subfamily C member 10",89845,"HGNC:52","ENSG00000124574.15","ENST00000372530.9","ENSP00000361608.4","NM_001198934.2","NP_001185863.1","MANE Select","A0A024RD21;Q5T3U5;D6R9B3;H0Y904"
"ABCC11","ATP binding cassette subfamily C member 11",85320,"HGNC:14639","ENSG00000121270.16","ENST00000356608.7","ENSP00000349017.2","NM_001370497.1","NP_001357426.1","MANE Select","Q96J66;A0A024R6R9;A0A024R6Q6;H3BRJ2"
"ABCC12","ATP binding cassette subfamily C member 12",94160,"HGNC:14640","ENSG00000140798.17","ENST00000311303.8","ENSP00000311030.4","NM_001393797.1","NP_001380726.1","MANE Select","B4DYN2;A0A024R6Q5;A0A8I5KPE2;E9PHY2;A0A8I5QJT3;A0A8J8YUR7"
