"GeneSymbol","StDev","Median","Lower_boot","Upper_boot"
"A2M",15324.8277554483,4267.141,3931.577,4677.309
"AAAS",1698.96498146007,5255.68,5091.375,5455.508
"AACS",3582.80435132596,4932.38,4671.808,5267.703
"AAGAB",2870.15510621705,4975.233,4765.402,5304.731
"AAK1",2130.90295357955,3744.292,3514.076,3936.565
"AAMDC",2376.87326615588,2053.186,1917.891,2262.369
"AAMP",2855.67038145209,4962.149,4788.885,5298.258
"AAR2",905.186570838272,2614.732,2518.136,2728.37
"AARS1",38138.1840205758,63258,60037.66,67402.13
"AARS2",2101.61810684861,5179.916,4971.311,5392.691
"AARSD1",4155.48956222767,5663.16,5257.416,6142.224
"AASDHPPT",4317.49598096045,7425.701,6974.442,8073.63
"AASS",5611.27960670126,3600.134,3068.848,4034.169
"AATF",2173.89829653015,4413.569,4200.728,4788.845
"ABCB1",15164.4498413059,2081.566,1933.698,2294.625
"ABCB10",631.479598506563,741.4778,707.1651,801.9134
"ABCB6",2440.28821929689,2106.274,1963.049,2309.26
"ABCC1",1306.22054141283,1698.914,1561.174,1816.369
"ABCC4",3036.60194627362,3516.429,3311.057,3732.979
"ABCD3",8996.50563082748,15476.04,14911.86,16740.99
"ABCE1",16589.5041718189,31409.91,29746.64,33233.52
"ABCF1",7784.75271476309,17222.75,16157.25,18301.66
"ABCF2",9971.80703457742,20847.53,19766.61,22261.1
"ABCF3",5808.91599774769,12430.34,11837.04,13029.36
"ABHD10",4362.85077418036,8062.013,7566.937,8634.529
"ABHD12",1377.46821922038,2485.411,2373.187,2618.486
"ABHD14B",15000.90489711,14888,13595.48,16304.46
"ABI1",1789.93726334212,4608.053,4389.213,4739.801
"ABL1",30.815297705434,60.15191,57.53925,62.79878
"ABLIM1",6448.39913388974,4758.529,4066.076,5510.166
"ABRACL",15560.8275314616,9195.178,8077.921,11079.37
"ABRAXAS2",284.11878174093,559.1254,528.6564,580.6457
"ACAA1",12207.100243119,16798.7,15951.84,18074.46
"ACAA2",35688.9025283287,25134.56,22790.42,27538.23
"ACACA",9393.09066011459,17258.28,16402.7,18857.6
"ACAD10",3124.11172171635,4750.312,4542.099,4993.883
"ACAD9",5038.700977144,12348.05,11662.81,13076.86
"ACADM",20892.2452574515,31924.56,29237.66,34896.15
"ACADS",1438.15028432851,1324.01,1237.218,1524.307
"ACADSB",3192.17266719052,3030.111,2866.655,3217.281
"ACADVL",13642.3605681532,21825.7,20089.91,23515.59
"ACAP1",39213.8524646975,12805.57,11529.62,14264.87
"ACAP2",3893.67165175862,6417.807,5982.711,6887.933
"ACAT1",33939.2006268245,57007.93,53658.39,60617.92
"ACAT2",16105.7710336548,20101.23,19275.15,22132.43
"ACBD3",3416.2757195651,10214.73,9696.801,10485.81
"ACBD6",1511.15335186125,2938.003,2730.392,3108.273
"ACIN1",12541.0833888393,30361.6,29395.3,31775.29
"ACLY",41027.8515913637,52976.54,49077.21,56894.57
"ACO1",14244.1742007374,15427.55,14230.06,16424.49
"ACO2",18488.8406112572,38042.69,36453.36,40058.04
"ACOT13",13407.0266673265,19078.35,18231.47,20003.36
"ACOT2",1086.53440571622,1272.874,1166.997,1382.459
"ACOT4",3401.16094358595,1418.205,1267.619,1606.8805
"ACOT7",56756.8239272306,67842.09,63557.14,72700.65
"ACOT8",3688.18870404285,7582.561,7189.4,8088.156
"ACOT9",6007.00855354127,9288.401,8694.605,9855.73
"ACOX1",3194.12699755404,4336.288,4067.547,4761.268
"ACP1",50574.203691491,40195.12,36291.47,44402.03
"ACP2",458.159094461345,795.4686,764.2242,834.3978
"ACSF3",3562.83408609389,7323.589,7020.307,7666.438
"ACSL1",4299.79292775175,3979.479,3643.46,4304.975
