GeneSymbol,StDev,Median,Lower_boot,Upper_boot
NOL8,0.4554556522866473,1.008127,1.008127,1.008127
IKBKB,0.6646574911879997,0.919183,0.919183,0.919183
SERINC5,1.5842013138650939,0.8505132,0.8505132,0.8505132
C1orf116,3.4414372159948696,0.6532429,0.6532429,0.6532429
ZC3HC1,0.3161974402306651,1.010872,1.010872,1.010872
SERPINA3,18.357925660340275,0.69118265,0.69118265,0.69118265
MTFR2,0.6310252074229397,0.9866938,0.9866938,0.9866938
MAGEC2,10.164855442542388,0.6718358,0.6718358,0.6718358
MTG2,0.5747840251369288,1.007127,1.007127,1.007127
KLHL7,0.4791469693414666,0.96760625,0.96760625,0.96760625
ZADH2,0.5902656849112596,1.01277,1.01277,1.01277
SKIV2L,0.48537789154658745,1.017718,1.017718,1.017718
MEF2C,4.872040732525694,0.695301,0.695301,0.695301
TMEM41A,0.49406436231644624,0.99912825,0.99912825,0.99912825
HTRA1,3.0245484967977263,0.8227098500000001,0.8227098500000001,0.8227098500000001
GPAT3,1.7683109487643252,0.937824,0.937824,0.937824
VSIR,2.0929091203503303,1.0017825,1.0017825,1.0017825
IFT140,0.44043303060909145,0.9782149,0.9782149,0.9782149
PIGX,0.5347663298817197,0.9745444,0.9745444,0.9745444
PPP2CB,0.4609638883149438,1.020418,1.020418,1.020418
UVSSA,0.575298176934762,1.0109474999999999,1.0109474999999999,1.0109474999999999
ZNF597,0.9893546947087344,1.102297,1.102297,1.102297
ABCC5,0.8560168559370878,0.9492398,0.9492398,0.9492398
ANKRD49,0.4954541426095279,0.96023535,0.96023535,0.96023535
CREB3L2,15.717472206990465,0.9733573,0.9733573,0.9733573
TLE1,0.7769978110829275,1.048452,1.048452,1.048452
PABIR1,0.7198003179180309,1.0240304999999998,1.0240304999999998,1.0240304999999998
RAB3D,0.8674760481876476,0.982862,0.982862,0.982862
IGSF8,0.8690494614424044,0.9869601,0.9869601,0.9869601
NTM,11.133875962351858,0.6739697,0.6739697,0.6739697
MSL3,0.49497772737364454,1.0317485,1.0317485,1.0317485
PIGO,0.5975210247596862,0.97733525,0.97733525,0.97733525
SIAH1,0.37875292265177074,0.9787089,0.9787089,0.9787089
CPEB2,1.3866443184793027,1.050081,1.050081,1.050081
RFX1,0.2677675655292321,1.002733,1.002733,1.002733
KIAA1671,1.1768640136452484,1.074803,1.074803,1.074803
SORL1,1.2701041963002873,1.00634,1.00634,1.00634
RNF128,5.157107918229862,0.81390515,0.81390515,0.81390515
GOLPH3L,0.6434765217652649,1.013978,1.013978,1.013978
CDYL,0.5312280233169842,0.946431,0.946431,0.946431
PDE1C,5.511006835183283,0.8322226,0.8322226,0.8322226
TEX2,0.6040898338825659,0.979921,0.979921,0.979921
MAST4,0.7859080070364249,0.9551894,0.9551894,0.9551894
SGCE,1.4114929399978486,1.009122,1.009122,1.009122
TUSC2,0.5298863895788307,1.0259900000000002,1.0259900000000002,1.0259900000000002
DOCK11,1.2992811507892736,0.8659082,0.8659082,0.8659082
ARHGAP27,0.8877289336162799,0.9146271,0.9146271,0.9146271
KRIT1,0.43025945967585266,0.96857615,0.96857615,0.96857615
NAXD,1.951621470351695,1.998491,1.998491,1.998491
SAMD4B,0.5073598460480678,0.9716616,0.9716616,0.9716616
ACOT11,1.6873009677982398,0.8363823,0.8363823,0.8363823
KYAT1,0.5578902630721496,0.9365558,0.9365558,0.9365558
BSPRY,2.320980269320017,0.75572645,0.75572645,0.75572645
RELL1,0.9838935781481079,0.9894802,0.9894802,0.9894802
KLF5,2.5572471458998254,0.8639073500000001,0.8639073500000001,0.8639073500000001
NAT1,1.6530999080240834,0.9258472,0.9258472,0.9258472
CTSS,3.5315662598948427,0.87495345,0.87495345,0.87495345
ZBTB33,0.4532507160900851,0.99301895,0.99301895,0.99301895
NCOA6,0.5721889667868708,1.014292,1.014292,1.014292
MED27,0.23885845718313822,1.0019565,1.0019565,1.0019565
PLA2G12A,0.984519855527147,1.1449245000000001,1.1449245000000001,1.1449245000000001
TMOD1,1.7372125249239954,0.9489791,0.9489791,0.9489791
PTP4A2,0.5741244646766854,0.9909673,0.9909673,0.9909673
HERPUD2,0.5930542383061485,0.9932364,0.9932364,0.9932364
TMEM126B,0.5275465409366106,0.9839072,0.9839072,0.9839072
MTRR,0.7272902786056483,0.9449631,0.9449631,0.9449631
FEM1B,0.5389191089943443,0.9719685,0.9719685,0.9719685
INSR,0.7715013014862703,1.000642,1.000642,1.000642
MAGI1,1.1218810889337973,1.016922,1.016922,1.016922
UBAC2,0.6142125856721649,1.01093,1.01093,1.01093
PLIN4,8.924915847934102,0.71787435,0.71787435,0.71787435
SMARCAL1,0.3523533057934393,0.9878393,0.9878393,0.9878393
HMGXB4,0.4300747806317038,0.9748169,0.9748169,0.9748169
RNASEH2B,0.8128479865684901,0.8925077,0.8925077,0.8925077
