,Gene,Absolute
0,CNDP2,yes
1,WDR4,yes
2,LAP3,yes
3,MRPS15,yes
4,ERP29,yes
5,SETD3,yes
6,U2AF1,yes
7,C17orf49,yes
8,CCDC47,yes
9,SNRPA1,yes
10,LRRC47,yes
11,NUDCD2,yes
12,MRPL2,yes
13,CENPF,yes
14,VPS51,yes
15,FKBP15,yes
16,DKC1,yes
17,NDUFS8,yes
18,EIF2B1,yes
19,SSH2,yes
20,CLU,yes
21,CD151,yes
22,VBP1,yes
23,GNAI3,yes
24,H6PD,yes
25,MYO1E,yes
26,ASAP1,yes
27,HK2,yes
28,TXN2,yes
29,CTDP1,yes
30,GOLPH3,yes
31,MDP1,yes
32,OSBPL3,yes
33,MCM7,yes
34,TARS1,yes
35,CDC42,yes
36,ARPC1A,yes
37,RPL24,yes
38,TCOF1,yes
39,CIP2A,yes
40,ME1,yes
41,ICAM1,yes
42,COQ8B,yes
43,CHCHD2,yes
44,PTK2B,yes
45,TRIM22,yes
46,IRGQ,yes
47,PUM3,yes
48,MRPS12,yes
49,LSM8,yes
50,UXS1,yes
51,VPS26C,yes
52,TFCP2,yes
53,LACTB,yes
54,DDX50,yes
55,CXorf38,yes
56,GTF2H1,yes
57,IDI1,yes
58,ERH,yes
59,RPIA,yes
60,KIAA1217,yes
61,SEC23IP,yes
62,PDCD4,yes
63,DSG2,yes
64,PRIM1,yes
65,SEC61A1,yes
66,SEPTIN8,yes
67,FOXK1,yes
68,UBE2I,yes
69,CADM4,yes
70,PYGO2,yes
71,NRDC,yes
72,MEAK7,yes
73,UCHL5,yes
74,TRMT10C,yes
75,CLEC11A,yes
76,TMEM205,yes
77,DMAC2,yes
78,GFPT1,yes
79,EMC7,yes
80,S100A6,yes
81,TMEM160,yes
82,LPIN1,yes
83,FASTKD2,yes
84,NCS1,yes
85,ATXN10,yes
86,EIF4A2,yes
87,KIF1B,yes
88,FAM83D,yes
89,EXOSC9,yes
90,SYPL1,yes
91,IRS2,yes
92,PSMG1,yes
93,MRPL18,yes
94,APOBEC3F,yes
95,PCLAF,yes
96,MRM1,yes
97,CFL2,yes
98,RPS6,yes
99,CAND1,yes
100,ABRACL,yes
101,YTHDF2,yes
102,ATG12,yes
103,RPL26,yes
104,CRYAB,yes
105,ZCCHC8,yes
106,EEA1,yes
107,PFDN5,yes
108,PARP1,yes
109,RAB14,yes
110,STT3B,yes
111,PSMC3IP,yes
112,MRPL1,yes
113,COA7,yes
114,ARHGAP1,yes
115,PSMB2,yes
116,CD59,yes
117,STAU1,yes
118,FRYL,yes
119,CCAR1,yes
120,OTUB1,yes
121,IBA57,yes
122,AGFG1,yes
123,UIMC1,yes
124,PRPF4B,yes
125,BTK,yes
126,SEL1L,yes
127,TUBA4A,yes
128,GGA2,yes
129,CORO7,yes
130,MRPS23,yes
131,HIBADH,yes
132,LYPLA2,yes
